"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2929044,"June 2, 2024",Minnesota,Minneapolis,N/A,0,1,0,0,0,N/A
2929026,"June 2, 2024",Texas,Houston,"15100 block of Vickery Dr",0,1,0,0,0,N/A
2928993,"June 2, 2024",Ohio,Columbus,"2600 block of Woodsedge Rd",1,0,0,0,0,N/A
2929011,"June 2, 2024",Ohio,Columbus,"4000 block of Morse Centre Rd",0,1,0,0,0,N/A
2928980,"June 2, 2024",Texas,"Fort Worth","Wesleyan Dr S",0,2,0,0,0,N/A
2928983,"June 2, 2024",Maryland,Gaithersburg,"18700 block of N Frederick Ave",1,0,0,0,0,N/A
2928964,"June 2, 2024","North Carolina",Maxton,"100 block of Harpers Ferry Rd",1,0,0,0,0,N/A
2928962,"June 2, 2024",Illinois,Jacksonville,"400 block of S Mauvaisterre St",0,1,0,0,0,N/A
2928959,"June 2, 2024","District of Columbia",Washington,"1000 block of Connecticut Ave NW",0,1,0,0,0,N/A
2928668,"June 2, 2024","North Carolina",Charlotte,"1000 block of Echo Glen Rd",1,0,0,0,0,N/A
2928940,"June 2, 2024",Colorado,"Colorado Springs","4285 N Academy Blvd",0,2,0,0,0,N/A
2928467,"June 2, 2024",Ohio,Akron,"Kelly Ave and 8th Ave",1,24,0,0,0,N/A
2928901,"June 2, 2024",Maryland,Baltimore,"3400 block of Violetville Ln",0,1,0,0,0,N/A
2928882,"June 2, 2024",Louisiana,Reserve,"Central Ave and Airline Hwy",1,0,0,0,0,N/A
2928662,"June 2, 2024",California,"Los Angeles","Maple Ave and E 12th St",1,2,0,0,0,N/A
